"USER_ID","CHANNEL_NUM","START_TIME","DURATION"
"31651681","893601",20210822 16:15:00,900
"38610681","893601",20210822 16:15:00,900
"32890581","893601",20210822 16:30:00,900
"31651681","893601",20210822 16:30:00,900
"38610681","893601",20210822 16:30:00,900
"32890581","893601",20210822 16:45:00,900
"31651681","893601",20210822 16:45:00,900
"38610681","893601",20210822 16:45:00,900
"32890581","893601",20210822 17:00:00,806
"31651681","893601",20210822 17:00:00,900
"38610681","893601",20210822 17:00:00,900
"32890581","893601",20210822 17:15:00,900
"31651681","893601",20210822 17:15:00,900
"38610681","893601",20210822 17:15:00,900
"32890581","893601",20210822 17:30:00,900
"31651681","893601",20210822 17:30:00,900
"38610681","893601",20210822 17:30:00,900
"32890581","893601",20210822 17:45:00,900
"31651681","893601",20210822 17:45:00,900
"38610681","893601",20210822 17:45:00,900
"32890581","893601",20210822 18:00:00,900
"31651681","893601",20210822 18:00:00,900
"38610681","893601",20210822 18:00:00,900
"32890581","893601",20210822 18:15:00,900
"31651681","893601",20210822 18:15:00,900
"38610681","893601",20210822 18:15:00,900
"32890581","893601",20210822 18:30:00,900
"31651681","893601",20210822 18:30:00,900
"38610681","893601",20210822 18:30:00,900
"32890581","893601",20210822 18:45:00,900
"31651681","893601",20210822 18:45:00,900
"38610681","893601",20210822 18:45:00,900
"32890581","893601",20210822 19:00:00,900
"31651681","893601",20210822 19:00:00,900
"38610681","893601",20210822 19:00:00,900
"32890581","893601",20210822 19:15:00,900
"31651681","893601",20210822 19:15:00,900
"38610681","893601",20210822 19:15:00,900
"39996481","893601",20210822 19:30:00,847
"32890581","893601",20210822 19:30:00,900
"31651681","893601",20210822 19:30:00,900
"38610681","893601",20210822 19:30:00,900
"32234481","893601",20210822 19:45:00,572
"39996481","893601",20210822 19:45:00,849
"32890581","893601",20210822 19:45:00,900
"31651681","893601",20210822 19:45:00,900
"38610681","893601",20210822 19:45:00,900
"32890581","893601",20210822 20:00:00,900
"31651681","893601",20210822 20:00:00,900
"38610681","893601",20210822 20:00:00,900
"32890581","893601",20210822 20:15:00,900
"31651681","893601",20210822 20:15:00,900
"38610681","893601",20210822 20:15:00,900
"32890581","893601",20210822 20:30:00,900
"30546681","893601",20210822 20:30:00,900
"31651681","893601",20210822 20:30:00,900
"38610681","893601",20210822 20:30:00,900
"32890581","893601",20210822 20:45:00,900
"30546681","893601",20210822 20:45:00,686
"31651681","893601",20210822 20:45:00,900
"38610681","893601",20210822 20:45:00,900
"32890581","893601",20210822 21:00:00,900
"31651681","893601",20210822 21:00:00,900
"38610681","893601",20210822 21:00:00,900
"32890581","893601",20210822 21:15:00,900
"31651681","893601",20210822 21:15:00,900
"38610681","893601",20210822 21:15:00,900
"32890581","893601",20210822 21:30:00,900
"31651681","893601",20210822 21:30:00,900
"38610681","893601",20210822 21:30:00,900
"37625481","893601",20210822 21:45:00,900
"32890581","893601",20210822 21:45:00,900
"31651681","893601",20210822 21:45:00,900
"38610681","893601",20210822 21:45:00,900
"37625481","893601",20210822 22:00:00,900
"32890581","893601",20210822 22:00:00,900
"31651681","893601",20210822 22:00:00,900
"38610681","893601",20210822 22:00:00,900
"37625481","893601",20210822 22:15:00,877
"32890581","893601",20210822 22:15:00,900
"31651681","893601",20210822 22:15:00,900
"38610681","893601",20210822 22:15:00,900
"37625481","893601",20210822 22:30:00,900
"32890581","893601",20210822 22:30:00,900
"31651681","893601",20210822 22:30:00,900
"38610681","893601",20210822 22:30:00,900
"37625481","893601",20210822 22:45:00,900
"32890581","893601",20210822 22:45:00,900
"31651681","893601",20210822 22:45:00,900
"38610681","893601",20210822 22:45:00,900
"37625481","893601",20210822 23:00:00,900
"32890581","893601",20210822 23:00:00,900
"31651681","893601",20210822 23:00:00,900
"38610681","893601",20210822 23:00:00,900
"37625481","893601",20210822 23:15:00,847
"32890581","893601",20210822 23:15:00,900
"31651681","893601",20210822 23:15:00,900
"38610681","893601",20210822 23:15:00,900
"32890581","893601",20210822 23:30:00,900
"31651681","893601",20210822 23:30:00,900
"38610681","893601",20210822 23:30:00,900
"32890581","893601",20210822 23:45:00,900
"31651681","893601",20210822 23:45:00,900
"38610681","893601",20210822 23:45:00,900
"32890581","893601",20210823 00:00:00,900
"31651681","893601",20210823 00:00:00,900
"38610681","893601",20210823 00:00:00,900
"32890581","893601",20210823 00:15:00,900
"31651681","893601",20210823 00:15:00,900
"38610681","893601",20210823 00:15:00,900
"32890581","893601",20210823 00:30:00,900
"31651681","893601",20210823 00:30:00,900
"38610681","893601",20210823 00:30:00,900
"32890581","893601",20210823 00:45:00,900
"31651681","893601",20210823 00:45:00,900
"38610681","893601",20210823 00:45:00,753
"39886581","893912",20210822 00:30:00,650
"39886581","893912",20210822 00:45:00,900
"39886581","893912",20210822 01:00:00,900
"39886581","893912",20210822 01:15:00,900
"39886581","893912",20210822 01:30:00,900
"38605681","893912",20210822 01:30:00,694
"38608681","893912",20210822 01:30:00,900
"35779181","893912",20210822 01:45:00,655
"32784281","893912",20210822 01:45:00,776
"39886581","893912",20210822 01:45:00,900
"30422681","893912",20210822 01:45:00,819
"35079681","893912",20210822 01:45:00,900
"38605681","893912",20210822 01:45:00,900
"38608681","893912",20210822 01:45:00,900
"35779181","893912",20210822 02:00:00,900
"32784281","893912",20210822 02:00:00,900
"37636281","893912",20210822 02:00:00,900
"39886581","893912",20210822 02:00:00,900
"30422681","893912",20210822 02:00:00,900
"35079681","893912",20210822 02:00:00,900
"38605681","893912",20210822 02:00:00,900
"38608681","893912",20210822 02:00:00,900
"35779181","893912",20210822 02:15:00,900
"32784281","893912",20210822 02:15:00,900
"37636281","893912",20210822 02:15:00,900
"35240581","893912",20210822 02:15:00,696
"39886581","893912",20210822 02:15:00,900
"30422681","893912",20210822 02:15:00,900
"35079681","893912",20210822 02:15:00,900
"38605681","893912",20210822 02:15:00,900
"38608681","893912",20210822 02:15:00,900
"35779181","893912",20210822 02:30:00,900
"32784281","893912",20210822 02:30:00,900
"37636281","893912",20210822 02:30:00,900
"30507581","893912",20210822 02:30:00,900
"35240581","893912",20210822 02:30:00,900
